"filename", "language", "Ini", "C++", "Python", "Markdown", "JSON with Comments", "comment", "blank", "total"
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\README.md", "Markdown", 0, 0, 0, 96, 0, 0, 37, 133
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\beacons.code-workspace", "JSON with Comments", 0, 0, 0, 0, 30, 0, 0, 30
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\platformio.ini", "Ini", 19, 0, 0, 0, 0, 9, 2, 30
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\ble\beacon_advertiser.cpp", "C++", 0, 54, 0, 0, 0, 6, 18, 78
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\ble\beacon_advertiser.h", "C++", 0, 31, 0, 0, 0, 45, 17, 93
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\ble\ble_manager.cpp", "C++", 0, 389, 0, 0, 0, 60, 77, 526
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\ble\ble_manager.h", "C++", 0, 94, 0, 0, 0, 64, 52, 210
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\ble\characteristics\icharacteristic.h", "C++", 0, 13, 0, 0, 0, 24, 8, 45
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\ble\characteristics\indicate_characteristic.cpp", "C++", 0, 53, 0, 0, 0, 0, 11, 64
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\ble\characteristics\indicate_characteristic.h", "C++", 0, 23, 0, 0, 0, 25, 11, 59
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\ble\characteristics\write_characteristic.cpp", "C++", 0, 55, 0, 0, 0, 1, 10, 66
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\ble\characteristics\write_characteristic.h", "C++", 0, 33, 0, 0, 0, 24, 14, 71
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\ble\connectable_advertiser.cpp", "C++", 0, 50, 0, 0, 0, 8, 15, 73
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\ble\connectable_advertiser.h", "C++", 0, 17, 0, 0, 0, 29, 11, 57
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\main.cpp", "C++", 0, 101, 0, 0, 0, 15, 21, 137
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\protocol\handlers\commands\blink_led_command.cpp", "C++", 0, 12, 0, 0, 0, 1, 2, 15
"c:\Users\timot\Documents\HEIG\TB\polaris\polaris-beacon\src\protocol\handlers\commands\blink_led_command.h", "C++", 0, 15, 0, 0, 0, 15, 8, 38
